#Masivo Exportar - Puntos cada 1 mes(es);;;;;;
;;ACL;ESC;GAM;GAT;GTW
;;Agua Clara;Escandalosa;Gamboa;Gatun;Gatun West
;;Precipitation.Telemetria;Precipitation.Telemetria;Precipitation.Telemetria;Precipitation.Telemetria;Precipitation.Telemetria
Inicio de intervalo (UTC-05:00);Fin del intervalo (UTC-05:00);Total (mm);Total (mm);Total (mm);Total (mm);Total (mm)
2015-08-14 12:00:00;2015-09-14 12:00:00;341;384;249;410;442
2015-09-14 12:00:00;2015-10-14 12:00:00;170;291;197;283;267
2015-10-14 12:00:00;2015-11-14 12:00:00;328;231;147;322;249
2015-11-14 12:00:00;2015-12-14 12:00:00;384;383;134;211;NaN
2015-12-14 12:00:00;2016-01-14 12:00:00;60;72;6;29;NaN
2016-01-14 12:00:00;2016-02-14 12:00:00;75;69;4;28;13
2016-02-14 12:00:00;2016-03-14 12:00:00;25;31;1;11;4
2016-03-14 12:00:00;2016-04-14 12:00:00;48;19;1;6;10
2016-04-14 12:00:00;2016-05-14 12:00:00;430;280;145;26;45
2016-05-14 12:00:00;2016-06-14 12:00:00;481;350;291;137;257
2016-06-14 12:00:00;2016-07-14 12:00:00;235;292;275;289;309
2016-07-14 12:00:00;2016-08-14 12:00:00;474;361;166;236;226
2016-08-14 12:00:00;2016-09-14 12:00:00;322;241;241;195;216
2016-09-14 12:00:00;2016-10-14 12:00:00;311;387;360;379;376
2016-10-14 12:00:00;2016-11-14 12:00:00;672;377;363;465;447
2016-11-14 12:00:00;2016-12-14 12:00:00;887;854;472;729;NaN
2016-12-14 12:00:00;2017-01-14 12:00:00;46;223;51;NaN;72
2017-01-14 12:00:00;2017-02-14 12:00:00;26;84;15;23;18
2017-02-14 12:00:00;2017-03-14 12:00:00;22;128;9;18;17
2017-03-14 12:00:00;2017-04-14 12:00:00;61;74;18;30;37
2017-04-14 12:00:00;2017-05-14 12:00:00;366;235;289;187;196
2017-05-14 12:00:00;2017-06-14 12:00:00;NaN;202;238;316;376
2017-06-14 12:00:00;2017-07-14 12:00:00;NaN;289;192;319;342
